title,genres,director,cast,overview,keywords,rating,year
Night of the crown,Horror,Robert Eggers,"Sandra Bullock, Keanu Reeves, Scarlett Johansson","After moving into a seemingly perfect Victorian mansion, a struggling artist begins experiencing disturbing phenomena. The house has a history, and it is not done claiming victims. A slow-burn horror masterpiece dripping with dread.","slasher, supernatural, occult, demon",4.1,1999
Whispering flame,Animation,Wong Kar-wai,"Rachel McAdams, John Boyega, Timothee Chalamet","When their homeland is threatened by a dark force, an unlikely hero must journey across fantastical lands. With colorful companions and songs in their heart, nothing is impossible. A joyful, dazzling animated adventure.","fantasy, quest, musical, colorful, talking-animals",7.2,2009
Hollow mirror,"Horror, Crime",Quentin Tarantino,"Denzel Washington, John Boyega, Chadwick Boseman","After moving into a seemingly perfect Victorian mansion, a retired professor begins experiencing disturbing phenomena. The house has a history, and it is not done claiming victims. A slow-burn horror masterpiece dripping with dread.","mafia, noir, occult, isolation, nightmare, investigation",8.7,2021
Dear compass,Romance,Jordan Peele,"Margot Robbie, Dev Patel, Charlize Theron, Emily Blunt","When a brilliant surgeon returns to their hometown, old feelings resurface and new possibilities emerge. Against the odds and despite past wounds, love finds a way. A tender, emotionally rich love story.","wedding, love, chemistry, heartbreak, soulmate, long-distance, passion",8.8,2005
Dirty river,"Crime, Horror",Rian Johnson,"Margot Robbie, Tilda Swinton, Florence Pugh, Michael B. Jordan","A meticulous heist goes wrong, and the crew must navigate betrayal and suspicion to survive. With the police closing in and trust crumbling, every second counts. A slick, tense crime thriller that never lets up.","underworld, informant, mafia, investigation, heist, ghost",5.3,2016
The cruel Hour,"Thriller, Animation",George Miller,"Cate Blanchett, Oscar Isaac, Ryan Gosling","A seemingly perfect post-war London hides dark secrets that a struggling artist is determined to expose. As the investigation deepens, the hunter becomes the hunted. A masterfully crafted thriller that keeps you guessing until the very end.","quest, hero, magic, suspense, fantasy, conspiracy",7.0,2012
Nebula spark,"Sci-Fi, Crime",David Fincher,"Adam Driver, Viola Davis, Sandra Bullock","Decades after the great collapse, an ambitious lawyer embarks on a perilous journey across a transformed Earth. Along the way, they discover that the key to the future lies in the forgotten past. A sweeping sci-fi adventure with heart.","smuggling, space, gang, mafia, heist",9.4,2002
A infinite Heart,Romance,James Cameron,"Zendaya, Robert Downey Jr., Scarlett Johansson","A chance encounter on a rainy evening in post-war London sparks a connection that neither expected. Through letters, phone calls, and stolen moments, two souls discover that distance is no match for destiny.","forbidden-love, soulmate, long-distance, love, passion",6.6,2018
flame Rising,"Action, Sci-Fi",Quentin Tarantino,"Tilda Swinton, Tom Hanks, Will Smith, Tom Hardy","After surviving a devastating accident, a former soldier seeks vengeance against those who destroyed everything. The action never stops in this pulse-pounding ride through the criminal underworld.","cyberpunk, mercenary, AI, survival, virtual-reality",7.1,2016
Double beacon,"Crime, Thriller",George Miller,"Lupita Nyong'o, Melissa McCarthy, Salma Hayek, Jenna Ortega","A meticulous heist goes wrong, and the crew must navigate betrayal and suspicion to survive. With the police closing in and trust crumbling, every second counts. A slick, tense crime thriller that never lets up.","mystery, smuggling, informant, stalker",7.6,2000
Quest for wolf,Adventure,James Cameron,"Austin Butler, John Boyega, Chris Evans, Jake Gyllenhaal","When a map to an uncharted Victorian mansion surfaces, a ragtag crew of explorers assembles for the journey. But they are not the only ones seeking what lies at the end. An epic adventure filled with wonder and peril.","map, discovery, exploration, quest, treasure",5.3,2006
flame Alley,"Crime, Thriller",Celine Sciamma,"Emily Blunt, Natalie Portman, Al Pacino","A meticulous heist goes wrong, and the crew must navigate betrayal and suspicion to survive. With the police closing in and trust crumbling, every second counts. A slick, tense crime thriller that never lets up.","investigation, paranoia, detective, gang, conspiracy",8.1,2008
The arrow Voyage,"Animation, Sci-Fi",Guillermo del Toro,"Austin Butler, Cate Blanchett, Chris Evans, Robert Downey Jr.","When their homeland is threatened by a dark force, an unlikely hero must journey across fantastical lands. With colorful companions and songs in their heart, nothing is impossible. A joyful, dazzling animated adventure.","cyberpunk, fairy-tale, musical, AI, technology, alien",8.6,1991
Singularity phoenix,"Sci-Fi, Action, Comedy",George Miller,"Margot Robbie, Salma Hayek, Jenna Ortega, Tom Hardy","When a mysterious quantum anomaly appears, a team of scientists races to understand its origins. What they find challenges everything we know about memories can be traded. Visually stunning and intellectually thrilling.","funny, satire, cyberpunk, explosion, wedding, virtual-reality",5.8,2021
Black shadow,Horror,Yorgos Lanthimos,"Adam Driver, Timothee Chalamet, Viola Davis","After moving into a seemingly perfect island estate, a young woman begins experiencing disturbing phenomena. The house has a history, and it is not done claiming victims. A slow-burn horror masterpiece dripping with dread.","slasher, supernatural, possession, isolation, occult, nightmare, ghost",5.1,1998
The distant Kingdom,"Animation, Crime, Drama",Pedro Almodovar,"Hailee Steinfeld, Christian Bale, Lupita Nyong'o","A curious a young woman stumbles into a hidden realm filled with wonder and danger. To find their way home, they must solve an ancient riddle and confront their deepest fears. A stunning animated film with a powerful message about self-discovery.","detective, redemption, hero, smuggling, underworld, mafia, coming-of-age",8.6,2021
The harbor Paradox,"Sci-Fi, Adventure, Crime",Robert Eggers,"Rachel McAdams, Jennifer Lawrence, Natalie Portman","When a mysterious rift in spacetime appears, a team of scientists races to understand its origins. What they find challenges everything we know about AI governs society. Visually stunning and intellectually thrilling.","technology, expedition, exploration, cyberpunk",6.3,2022
Strike horizon,Action,Ang Lee,"Melissa McCarthy, Natalie Portman, Austin Butler, Keanu Reeves","When a a criminal empire threatens to destabilize an entire region, a seasoned pilot is called back for one final mission. Allies become enemies and the line between right and wrong blurs in this high-octane thriller.","undercover, weapons, chase, combat, explosion, rescue, mission",5.3,2016
The beacon Voyage,Animation,Sofia Coppola,"Tilda Swinton, Robert Downey Jr., Brad Pitt","A curious a war veteran stumbles into a hidden realm filled with wonder and danger. To find their way home, they must solve an ancient riddle and confront their deepest fears. A stunning animated film with a powerful message about self-discovery.","colorful, quest, fantasy, talking-animals",8.0,2016
lotus Night,"Comedy, Drama, Animation",Hayao Miyazaki,"Emily Blunt, Cate Blanchett, Jason Momoa, Emma Stone","a small-town teacher thought retirement would be peaceful, but a series of absurd events pulls them back into the spotlight. A sharp, clever comedy about second chances and finding joy in unexpected places.","fantasy, talking-animals, magic, colorful, sacrifice, awkward",7.4,2005
Void crown,"Sci-Fi, Thriller",Patty Jenkins,"Samuel L. Jackson, Tom Hardy, Hailee Steinfeld","In a future where AI governs society, humanity faces its greatest challenge yet. A brilliant hacker discovers a truth that could change everything, but powerful forces want it buried. A thought-provoking sci-fi epic about the cost of progress.","genetic-engineering, double-cross, technology, conspiracy, serial-killer, AI",6.1,1999
They lose at Night,Horror,Bong Joon-ho,"Cate Blanchett, Gal Gadot, Melissa McCarthy","After moving into a seemingly perfect island estate, a struggling artist begins experiencing disturbing phenomena. The house has a history, and it is not done claiming victims. A slow-burn horror masterpiece dripping with dread.","supernatural, nightmare, isolation, ghost, curse",7.7,2019
The Lost titan,"Adventure, Comedy, Drama",Ang Lee,"Tom Hardy, Jenna Ortega, John Boyega, Timothee Chalamet","When a map to an uncharted abandoned hospital surfaces, a ragtag crew of explorers assembles for the journey. But they are not the only ones seeking what lies at the end. An epic adventure filled with wonder and peril.","ancient-ruins, exploration, absurd, family, redemption",6.1,2012
The fading Frontier,"Sci-Fi, Action",Guillermo del Toro,"Will Smith, Melissa McCarthy, Awkwafina","Decades after the great collapse, a young woman embarks on a perilous journey across a transformed Earth. Along the way, they discover that the key to the future lies in the forgotten past. A sweeping sci-fi adventure with heart.","mercenary, survival, alien, cyberpunk, technology, mission, time-travel",7.7,1998
The raven Files,"Action, Sci-Fi",Steven Spielberg,"Dev Patel, Brad Pitt, Cate Blanchett, Al Pacino","When a a powerful cartel threatens to destabilize an entire region, a seasoned pilot is called back for one final mission. Allies become enemies and the line between right and wrong blurs in this high-octane thriller.","chase, technology, time-travel, alien, combat, explosion, AI",5.4,2020
Singularity blade,"Sci-Fi, Romance, Drama",Jordan Peele,"Melissa McCarthy, Awkwafina, Dev Patel","Decades after the great collapse, a small-town teacher embarks on a perilous journey across a transformed Earth. Along the way, they discover that the key to the future lies in the forgotten past. A sweeping sci-fi adventure with heart.","chemistry, passion, redemption, genetic-engineering, virtual-reality, grief",4.7,2013
The reckless Frontier,"Sci-Fi, Horror",Denis Villeneuve,"Jake Gyllenhaal, Meryl Streep, Gal Gadot","Decades after the great collapse, a war veteran embarks on a perilous journey across a transformed Earth. Along the way, they discover that the key to the future lies in the forgotten past. A sweeping sci-fi adventure with heart.","AI, haunted, nightmare, robot, virtual-reality",4.8,1992
dust Tales,"Animation, Drama",Celine Sciamma,"Daniel Kaluuya, Rachel McAdams, Anya Taylor-Joy","A curious a small-town teacher stumbles into a hidden realm filled with wonder and danger. To find their way home, they must solve an ancient riddle and confront their deepest fears. A stunning animated film with a powerful message about self-discovery.","fantasy, friendship, quest, relationships, ambition",4.2,2013
Adventures of serpent,Animation,Denis Villeneuve,"Keanu Reeves, Kate Winslet, Emily Blunt, Michael B. Jordan","In a magical world where time flows backward, a young a small-town teacher embarks on an extraordinary adventure. Along the way, they discover the true meaning of courage and friendship. A visually breathtaking animated masterpiece for all ages.","quest, colorful, fantasy, friendship, fairy-tale",7.5,1991
Forever frozen,Romance,Wong Kar-wai,"Tom Hanks, Brie Larson, Samuel L. Jackson","A chance encounter on a rainy evening in rural Ireland sparks a connection that neither expected. Through letters, phone calls, and stolen moments, two souls discover that distance is no match for destiny.","devotion, chemistry, passion, wedding, love",4.0,1999
Quest for star,"Adventure, Sci-Fi, Comedy",Christopher Nolan,"Leonardo DiCaprio, Michael B. Jordan, Robert Pattinson","An intrepid pilot sets out on a quest to find the legendary Sunstone before it falls into the wrong hands. Crossing treacherous landscapes and outsmarting rivals, the adventure of a lifetime unfolds. A thrilling ride from start to finish.","map, awkward, AI, road-trip, prank",6.9,1994
Written in veil,"Romance, Adventure",George Miller,"Gal Gadot, Robert Downey Jr., Dev Patel","A chance encounter on a rainy evening in post-war London sparks a connection that neither expected. Through letters, phone calls, and stolen moments, two souls discover that distance is no match for destiny.","devotion, chemistry, jungle, heartbreak, quest, ancient-ruins, expedition",6.7,2018
Echoes of bridge,Drama,Jordan Peele,"Brad Pitt, Zendaya, Gal Gadot","In the quiet corners of a Mediterranean island, a war veteran confronts a past that refuses to stay buried. Through unexpected friendships and hard-won wisdom, a new path forward emerges.","sacrifice, relationships, redemption, loss, identity, secrets",8.7,2003
The Ninth compass,"Thriller, Horror",Edgar Wright,"Dev Patel, Denzel Washington, Adam Driver, Jenna Ortega","A seemingly perfect the Australian outback hides dark secrets that a single parent is determined to expose. As the investigation deepens, the hunter becomes the hunted. A masterfully crafted thriller that keeps you guessing until the very end.","haunted, investigation, conspiracy, demon, supernatural",6.4,2013
The sacred Trail,"Adventure, Action, Romance",Ryan Coogler,"Melissa McCarthy, Rami Malek, Samuel L. Jackson, Jenna Ortega","Stranded in the wilderness after a catastrophic betrayal, a single parent must use every skill to survive. As they push deeper into the unknown, they find something far more valuable than rescue. An awe-inspiring adventure about resilience and discovery.","survival, wedding, heartbreak, military, soulmate, forbidden-love",7.6,2004
The eagle of Us,"Romance, Adventure, Crime",Wong Kar-wai,"Daisy Ridley, Jenna Ortega, Jason Momoa","A chance encounter on a rainy evening in a small coastal town sparks a connection that neither expected. Through letters, phone calls, and stolen moments, two souls discover that distance is no match for destiny.","devotion, discovery, detective, jungle, treasure, smuggling",9.1,2012
The Art of star,Comedy,Edgar Wright,"Natalie Portman, Sandra Bullock, Tom Hardy","When a struggling artist accidentally betrayal, chaos and hilarity ensue in this laugh-out-loud comedy. Nothing goes according to plan, and every attempt to fix things only makes it worse. A feel-good film that will leave you smiling.","wedding, satire, awkward, funny, road-trip, absurd, prank",8.3,1995
Totally fallen,"Comedy, Crime, Action",Guillermo del Toro,"Rami Malek, Jenna Ortega, Tilda Swinton, Chris Evans","A mismatched group of old friends must work together to pull off the impossible before the deadline. With egos clashing and plans falling apart, the real comedy is in the journey. Heartwarming, witty, and endlessly entertaining.","chase, wit, underworld, investigation, mission, funny",4.6,2021
Quantum arrow,"Sci-Fi, Action",Pedro Almodovar,"Leonardo DiCaprio, Florence Pugh, Lupita Nyong'o","In a future where time flows backward, humanity faces its greatest challenge yet. A brilliant agent discovers a truth that could change everything, but powerful forces want it buried. A thought-provoking sci-fi epic about the cost of progress.","military, virtual-reality, genetic-engineering, rescue, explosion, AI",4.7,2024
The fearless Trail,"Adventure, Crime",Quentin Tarantino,"Melissa McCarthy, Sandra Bullock, Robert Downey Jr., Jenna Ortega","An intrepid hacker sets out on a quest to find the legendary Sunstone before it falls into the wrong hands. Crossing treacherous landscapes and outsmarting rivals, the adventure of a lifetime unfolds. A thrilling ride from start to finish.","corruption, jungle, wilderness, informant, underworld, discovery",6.2,2010
The Last fate,Crime,Paul Thomas Anderson,"Jenna Ortega, Jason Momoa, Denzel Washington","In the gritty underbelly of a Mediterranean island, a detective pursues a mastermind who is always one step ahead. Loyalties are tested and the price of justice is high. A gripping crime saga with unforgettable characters.","corruption, heist, mafia, investigation, detective, gang, informant",5.8,2000
After the echo,Drama,Chloe Zhao,"Michael B. Jordan, Dev Patel, Benedict Cumberbatch, Emily Blunt","A deeply moving portrait of a retired professor struggling to find meaning after accident. Set against the backdrop of modern-day Berlin, the film explores themes of loss, hope, and human connection. A powerful story that stays with you long after the credits roll.","coming-of-age, family, relationships, redemption, identity, loss",5.0,2021
The cold Ring,"Crime, Animation",Hayao Miyazaki,"Melissa McCarthy, Tom Hardy, Adam Driver, Natalie Portman","A meticulous heist goes wrong, and the crew must navigate betrayal and suspicion to survive. With the police closing in and trust crumbling, every second counts. A slick, tense crime thriller that never lets up.","magic, quest, underworld, heist",7.3,2012
Singularity shadow,"Sci-Fi, Animation",Martin Scorsese,"Brie Larson, Oscar Isaac, Tom Hanks, Emily Blunt","In a future where parallel worlds overlap, humanity faces its greatest challenge yet. A brilliant journalist discovers a truth that could change everything, but powerful forces want it buried. A thought-provoking sci-fi epic about the cost of progress.","quest, hero, friendship, alien",7.3,2022
veil Rising,Action,Sam Mendes,"Idris Elba, Emily Blunt, Margot Robbie","A operative must navigate a dangerous world of a powerful cartel to save the world. With time running out and enemies closing in, every decision could be the last. An explosive tale of survival and redemption.","combat, mission, military, undercover, survival, weapons, chase",6.2,2011
Operation lotus,"Action, Romance",Denis Villeneuve,"Oscar Isaac, Timothee Chalamet, Dev Patel, Jason Momoa","After surviving a devastating explosion, a former agent seeks vengeance against those who destroyed everything. The action never stops in this pulse-pounding ride through the criminal underworld.","undercover, forbidden-love, mercenary, combat",9.3,2015
The Weight of moon,Drama,Sofia Coppola,"Benedict Cumberbatch, Brad Pitt, Rami Malek, John Boyega","In the quiet corners of a Mediterranean island, a retired professor confronts a past that refuses to stay buried. Through unexpected friendships and hard-won wisdom, a new path forward emerges.","loss, identity, grief, ambition, redemption, family",9.2,2021
How to break a blade,Comedy,Denis Villeneuve,"Rami Malek, Emma Stone, Matt Damon","an ambitious lawyer thought retirement would be peaceful, but a series of absurd events pulls them back into the spotlight. A sharp, clever comedy about second chances and finding joy in unexpected places.","road-trip, misunderstanding, absurd, wedding, awkward, prank, funny",8.0,1992
Before ember,"Thriller, Animation",George Miller,"Keanu Reeves, Saoirse Ronan, Lupita Nyong'o","A seemingly perfect the Australian outback hides dark secrets that a struggling artist is determined to expose. As the investigation deepens, the hunter becomes the hunted. A masterfully crafted thriller that keeps you guessing until the very end.","talking-animals, stalker, colorful, magic, fantasy, paranoia, quest",5.1,1998
Dark veil,"Action, Animation, Romance",Emerald Fennell,"Oscar Isaac, Cate Blanchett, Samuel L. Jackson","A scientist must navigate a dangerous world of an arms dealer to save their city. With time running out and enemies closing in, every decision could be the last. An explosive tale of survival and redemption.","rescue, combat, weapons, mission, long-distance",8.5,2012
Black serpent,"Horror, Action, Crime",Ava DuVernay,"Cate Blanchett, Anya Taylor-Joy, Ryan Gosling, Meryl Streep","After moving into a seemingly perfect abandoned hospital, a retired professor begins experiencing disturbing phenomena. The house has a history, and it is not done claiming victims. A slow-burn horror masterpiece dripping with dread.","detective, investigation, gang, mission, mafia",6.6,1998
Dream storm,"Animation, Crime",Ridley Scott,"Timothee Chalamet, Florence Pugh, Brie Larson","In a magical world where memories can be traded, a young a small-town teacher embarks on an extraordinary adventure. Along the way, they discover the true meaning of courage and friendship. A visually breathtaking animated masterpiece for all ages.","gang, underworld, smuggling, investigation, informant, fairy-tale",7.5,2019
Sky sun,Animation,Ava DuVernay,"Oscar Isaac, Jenna Ortega, Leonardo DiCaprio","A curious a war veteran stumbles into a hidden realm filled with wonder and danger. To find their way home, they must solve an ancient riddle and confront their deepest fears. A stunning animated film with a powerful message about self-discovery.","fantasy, hero, musical, friendship, fairy-tale",4.5,2013
echo of the Deep,Adventure,Lulu Wang,"Daniel Kaluuya, Melissa McCarthy, Jake Gyllenhaal","An intrepid journalist sets out on a quest to find the legendary Heart of the Void before it falls into the wrong hands. Crossing treacherous landscapes and outsmarting rivals, the adventure of a lifetime unfolds. A thrilling ride from start to finish.","quest, treasure, wilderness, ancient-ruins, exploration, discovery",8.2,2011
Paper lotus,Romance,Wes Anderson,"John Boyega, Jake Gyllenhaal, Tom Hardy, Margot Robbie","Two strangers from different worlds find an unexpected connection in 1960s New York. As they navigate the complexities of love and life, they must decide what matters most. A beautiful, heartfelt romance that celebrates the power of vulnerability.","long-distance, love, devotion, heartbreak, soulmate, wedding, passion",9.1,2022
Uncharted shadow,"Adventure, Animation",Chloe Zhao,"Michael B. Jordan, Melissa McCarthy, Chadwick Boseman, Scarlett Johansson","Stranded in the wilderness after a catastrophic explosion, a single parent must use every skill to survive. As they push deeper into the unknown, they find something far more valuable than rescue. An awe-inspiring adventure about resilience and discovery.","quest, magic, wilderness, jungle",8.9,2014
